date,usage_kwh,day_of_week,weekend,holiday,vacation,exam_period,temp_c,humidity_pct,wind_dir_deg,wind_speed_ms,pressure_local_hpa,pressure_sea_hpa,solar_rad_mj_m2,sunshine_sec,precip_mm,strong_wind_warning,strong_wind_advisory,dry_advisory,heavy_snow_warning,heavy_snow_advisory,tropical_night,typhoon_warning,typhoon_advisory,heat_wave_warning,heat_wave_advisory,cold_wave_warning,cold_wave_advisory,heavy_rain_warning,heavy_rain_advisory,yellow_dust_warning,obs_minutes
2021-11-11,206100.72,Thursday,0,0,0,0,5.7581944444444435,66.24104166666667,292.2502046986256,2.336597222222222,1007.0203472222222,1011.9070833333333,8.43,23400.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-12,204905.52,Friday,0,0,0,0,4.925104311543811,60.24221140472879,302.97327280129986,2.1153685674547984,1012.6470792767733,1017.591933240612,11.61,31740.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
2021-11-13,176870.16,Saturday,1,0,0,0,7.1627777777777775,72.52402777777777,91.68732078588098,1.1730555555555555,1014.33875,1019.2410416666668,9.85,27480.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-14,166819.68,Sunday,1,1,0,0,11.025521557719054,72.18157162726008,169.44205595123844,1.440125173852573,1013.4278164116829,1018.2589707927676,9.24,23160.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
2021-11-15,199610.64,Monday,0,0,0,0,9.093402777777778,76.42152777777778,279.77723812349217,0.9584027777777777,1017.0986111111112,1021.9879166666667,10.34,29400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-16,201340.8,Tuesday,0,0,0,0,7.734513888888889,74.64902777777777,260.7906625577964,1.2079166666666667,1019.8542361111112,1024.7816666666668,11.16,32160.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-17,203137.2,Wednesday,0,0,0,0,6.852083333333334,69.66868055555555,302.1713129294159,1.0600694444444445,1019.712986111111,1024.638125,11.05,28740.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-18,196255.44,Thursday,0,0,0,0,11.027285613040396,74.3074415308292,165.3995709869518,1.9332388377037564,1014.0058823529412,1018.8238128986534,7.58,20400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411
2021-11-19,195004.8,Friday,0,0,0,0,12.575138888888889,87.97888888888889,190.42313141147517,1.48,1013.4441666666668,1018.2313888888889,6.4,11220.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-20,172499.76,Saturday,1,0,0,0,10.294371091035442,84.61299513551077,331.8302474357749,0.870813064628214,1016.4839471855455,1021.353300903405,7.32,18240.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-11-21,165301.2,Sunday,1,1,0,0,10.167755385684503,81.3032661570535,169.21317403766517,1.1608756080611535,1012.4334954829743,1017.2701181375955,3.8,1680.0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-11-22,207581.04,Monday,0,0,0,0,4.447708333333333,60.858263888888885,307.56412769826306,4.247638888888889,1011.3413194444445,1016.2766666666666,8.99,24180.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-23,223094.88,Tuesday,0,0,0,0,0.3067361111111111,66.98673611111111,304.68749543039354,2.5184027777777778,1014.2177777777779,1019.2518055555556,5.93,10800.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-24,223115.04,Wednesday,0,0,0,0,2.6165972222222225,79.70166666666667,136.3090815995335,1.208825573314802,1013.1821527777778,1018.169375,4.57,9780.0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-25,217587.6,Thursday,0,0,0,0,5.786944444444445,68.58291666666666,309.1620635367103,1.8561111111111113,1013.8101388888889,1018.7495833333332,10.05,31620.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-26,221824.08,Friday,0,0,0,0,3.3690277777777777,59.918194444444445,316.7444340201235,1.388611111111111,1022.1225,1027.1403472222223,10.14,27660.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-27,193317.12,Saturday,1,0,0,0,2.7221527777777776,61.61388888888889,277.89585559798616,0.9415972222222223,1029.3763888888889,1034.4322222222222,11.33,33480.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-28,185677.2,Sunday,1,1,0,0,3.9137500000000003,62.994375,303.93995856640913,0.83875,1029.3590972222223,1034.4063194444445,11.07,28920.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-11-29,211443.12,Monday,0,0,0,1,6.452364394993046,69.04248956884562,4.714161220584644,0.7828929068150209,1022.5630041724618,1027.5200278164118,7.74,22740.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
2021-11-30,212758.56,Tuesday,0,0,0,1,6.386180555555556,82.965,219.56178111609782,3.729236111111111,1007.5175694444445,1012.40125,0.6,0.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-01,231688.08,Wednesday,0,0,0,1,-0.003891591382904801,48.65927727588603,305.02255837714,4.733842946490618,1017.0194579569145,1022.0756080611536,11.46,33420.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-12-02,230079.6,Thursday,0,0,0,1,1.1871527777777777,68.54791666666667,182.08933189909726,1.9439888811674775,1015.3405555555555,1020.3475,9.2,26040.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-12-03,223853.76,Friday,0,0,0,1,2.690625,60.40854166666667,310.5702849415592,2.7761805555555554,1014.0800694444445,1019.0722222222222,10.98,31380.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
